team,team_country,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against
Algeria,Algeria,22,27.3,61.0,4,44,360,4.0,5,3,8,5,0,0,3,0,1.25,0.75,2.0,1.25,2.0,22,29.1,39.0,4,44,360,4.0,9,7,16,9,0,0,2,0,2.25,1.75,4.0,2.25,4.0,44,15,34.1,11.0,3.75,0.11,0.33,39,18,46.2,9.75,4.5,0.23,0.5,90,100,81,25,19,21,37,1.0,5,9,-4,-1.0,90,100,81,24,20,20,39,1.75,9,5,4,1.0,0,29,40,4,40,30,44,,,0,0,41,27,7,37,41,50,,,0,4,4,360,9,2.25,17,8,47.1,1,1,2,0,0.0,0,0,0,0,,4,4,360,5,1.25,15,10,66.7,2,1,1,2,50.0,0,0,0,0,
Argentina,Argentina,24,29.6,57.6,8,88,810,9.0,18,12,30,17,1,3,15,1,2.0,1.33,3.33,1.89,3.22,24,28.3,42.4,8,88,810,9.0,8,8,16,8,0,0,14,1,0.89,0.89,1.78,0.89,1.78,114,44,38.6,12.67,4.89,0.15,0.39,75,28,37.3,8.33,3.11,0.11,0.29,101,100,87,45,42,30,78,2.63,19,8,11,1.22,101,100,87,45,42,25,74,0.38,8,19,-11,-1.22,1,113,100,22,104,82,93,,,0,1,107,109,12,121,82,67,,,1,8,8,810,8,0.89,28,20,71.4,7,0,1,2,25.0,0,0,0,0,,8,8,810,19,2.11,43,24,55.8,1,0,7,1,12.5,3,1,1,1,50.0
Australia,Australia,23,25.3,41.0,4,44,390,4.3,2,1,3,2,0,0,5,0,0.46,0.23,0.69,0.46,0.69,23,27.8,59.0,4,44,390,4.3,2,1,3,2,0,0,7,0,0.46,0.23,0.69,0.46,0.69,42,12,28.6,9.69,2.77,0.05,0.17,61,15,24.6,14.08,3.46,0.03,0.13,98,100,85,25,19,28,37,1.25,3,3,0,0.0,98,100,85,24,20,19,35,1.25,3,3,0,0.0,0,46,38,1,70,29,34,,,1,0,39,45,7,71,41,38,,,1,4,4,390,3,0.69,17,14,82.4,1,1,2,2,50.0,0,0,0,0,,4,4,390,3,0.69,13,10,76.9,2,1,1,2,50.0,0,0,0,0,
Austria,Austria,20,28.8,45.0,4,44,360,4.0,5,4,9,4,1,1,5,0,1.25,1.0,2.25,1.0,2.0,20,27.8,55.0,4,44,360,4.0,9,7,16,9,0,1,2,0,2.25,1.75,4.0,2.25,4.0,32,8,25.0,8.0,2.0,0.13,0.5,58,24,41.4,14.5,6.0,0.16,0.38,90,100,77,24,20,28,40,1.0,6,9,-3,-0.75,90,100,77,25,19,14,40,1.75,9,6,3,0.75,0,47,28,11,59,41,29,,,0,0,31,42,6,46,29,37,,,1,4,4,360,9,2.25,22,13,59.1,1,1,2,0,0.0,1,0,0,1,,4,4,360,6,1.5,8,2,25.0,2,1,1,2,50.0,1,1,0,0,0.0
Belgium,Belgium,23,29.2,51.2,6,66,570,6.3,13,10,23,12,1,1,6,1,2.05,1.58,3.63,1.89,3.47,23,28.3,48.8,6,66,570,6.3,7,2,9,7,0,0,10,0,1.11,0.32,1.42,1.11,1.42,112,34,30.4,17.68,5.37,0.11,0.35,70,23,32.9,11.05,3.63,0.1,0.3,95,100,81,34,31,28,50,1.83,14,7,7,1.11,95,100,81,36,30,25,58,0.83,7,14,-7,-1.11,0,78,68,8,114,50,47,,,0,0,70,71,11,90,55,52,,,1,6,6,570,7,1.11,23,16,69.6,3,2,1,1,16.7,0,0,0,0,,6,6,570,14,2.21,36,22,61.1,1,2,3,1,16.7,1,1,0,0,0.0
Bosnia–Herz,Bosnia and Herzegovina,23,26.6,46.0,4,44,360,4.0,4,3,7,4,0,0,7,1,1.0,0.75,1.75,1.0,1.75,23,28.7,54.0,4,44,360,4.0,8,4,12,7,1,1,4,1,2.0,1.0,3.0,1.75,2.75,37,14,37.8,9.25,3.5,0.11,0.29,43,16,37.2,10.75,4.0,0.16,0.44,90,100,79,23,20,24,39,1.0,5,8,-3,-0.75,90,100,79,25,18,17,37,1.75,8,5,3,0.75,0,60,38,2,57,34,37,,,0,0,38,58,10,77,20,42,,,1,4,4,360,8,2.0,14,6,42.9,1,1,2,0,0.0,1,1,0,0,0.0,4,4,360,5,1.25,15,10,66.7,2,1,1,1,25.0,0,0,0,0,
Brazil,Brazil,22,29.2,53.0,5,55,450,5.0,10,8,18,9,1,2,8,0,2.0,1.6,3.6,1.8,3.4,22,27.6,47.0,5,55,450,5.0,4,3,7,4,0,0,7,0,0.8,0.6,1.4,0.8,1.4,74,30,40.5,14.8,6.0,0.12,0.3,49,18,36.7,9.8,3.6,0.08,0.22,90,100,80,32,23,23,47,2.0,10,4,6,1.2,90,100,80,31,24,20,50,0.8,4,10,-6,-1.2,0,51,53,11,93,48,46,,,0,0,57,49,6,72,26,50,,,0,5,5,450,4,0.8,18,14,77.8,3,1,1,2,40.0,0,0,0,0,,5,5,450,10,2.0,28,18,64.3,1,1,3,0,0.0,2,1,1,0,50.0
Cabo Verde,Cape Verde,21,30.8,37.3,4,44,390,4.3,4,2,6,4,0,0,5,0,0.92,0.46,1.38,0.92,1.38,21,28.5,62.8,4,44,390,4.3,4,3,7,4,0,0,7,0,0.92,0.69,1.62,0.92,1.62,49,12,24.5,11.31,2.77,0.08,0.33,73,22,30.1,16.85,5.08,0.05,0.18,98,100,84,23,21,28,37,0.75,4,5,-1,-0.23,98,100,84,27,17,28,41,1.5,5,4,1,0.23,0,27,47,7,50,52,45,,,1,0,50,27,8,90,33,48,,,0,4,4,390,5,1.15,23,18,78.3,0,3,1,2,50.0,0,0,0,0,,4,4,390,4,0.92,12,8,66.7,1,3,0,2,50.0,0,0,0,0,
Canada,Canada,22,26.9,54.4,5,55,450,5.0,8,3,11,8,0,0,11,0,1.6,0.6,2.2,1.6,2.2,22,27.2,45.6,5,55,450,5.0,6,6,12,6,0,0,9,2,1.2,1.2,2.4,1.2,2.4,80,31,38.8,16.0,6.2,0.1,0.26,27,12,44.4,5.4,2.4,0.22,0.5,90,100,80,30,25,22,45,1.4,9,6,3,0.6,90,100,80,31,23,22,50,1.4,6,9,-3,-0.6,0,72,73,7,146,36,51,,,0,0,73,71,6,32,50,53,,,1,5,5,450,6,1.2,12,6,50.0,2,1,2,2,40.0,0,0,0,0,,5,5,450,9,1.8,28,19,67.9,2,1,2,1,20.0,0,0,0,0,
Colombia,Colombia,21,30.0,57.8,5,55,480,5.3,5,5,10,5,0,0,8,0,0.94,0.94,1.87,0.94,1.87,21,28.4,42.2,5,55,480,5.3,1,0,1,1,0,0,8,0,0.19,0.0,0.19,0.19,0.19,94,30,31.9,17.62,5.63,0.05,0.17,43,7,16.3,8.06,1.31,0.02,0.14,96,100,86,33,22,25,53,2.2,5,1,4,0.75,96,100,86,29,26,30,46,0.4,1,5,-4,-0.75,0,70,64,19,70,38,33,,,0,0,68,68,7,71,43,35,,,0,5,5,480,1,0.19,7,6,85.7,3,1,1,4,80.0,0,0,0,0,,5,5,480,5,0.94,30,25,83.3,1,1,3,2,40.0,0,0,0,0,
Congo DR,Congo DR,21,28.8,40.0,4,44,360,4.0,5,3,8,4,1,1,6,0,1.25,0.75,2.0,1.0,1.75,21,27.7,60.0,4,44,360,4.0,5,5,10,5,0,0,8,0,1.25,1.25,2.5,1.25,2.5,41,9,22.0,10.25,2.25,0.1,0.44,46,18,39.1,11.5,4.5,0.11,0.28,90,100,82,24,20,19,40,1.0,5,5,0,0.0,90,100,82,28,16,22,44,1.75,5,5,0,0.0,0,44,45,9,57,22,41,,,0,0,47,42,11,94,31,37,,,0,4,4,360,5,1.25,19,14,73.7,1,1,2,0,0.0,0,0,0,0,,4,4,360,5,1.25,9,4,44.4,2,1,1,1,25.0,1,1,0,0,0.0
Croatia,Croatia,19,29.1,49.8,4,44,360,4.0,6,5,11,6,0,0,4,0,1.5,1.25,2.75,1.5,2.75,19,27.7,50.3,4,44,360,4.0,7,5,12,5,2,2,3,0,1.75,1.25,3.0,1.25,2.5,37,17,45.9,9.25,4.25,0.16,0.35,51,16,31.4,12.75,4.0,0.1,0.31,90,100,82,26,18,20,42,1.5,6,7,-1,-0.25,90,100,82,25,19,19,40,1.5,7,6,1,0.25,0,45,47,8,67,25,32,,,0,0,48,45,4,74,26,28,,,0,4,4,360,7,1.75,17,10,58.8,2,0,2,1,25.0,2,2,0,0,0.0,4,4,360,6,1.5,17,11,64.7,2,0,2,0,0.0,0,0,0,0,
Curaçao,Curaçao,22,28.9,32.3,3,33,270,3.0,1,0,1,1,0,0,7,0,0.33,0.0,0.33,0.33,0.33,22,26.7,67.7,3,33,270,3.0,9,8,17,8,1,1,2,0,3.0,2.67,5.67,2.67,5.33,29,7,24.1,9.67,2.33,0.03,0.14,60,30,50.0,20.0,10.0,0.13,0.27,90,100,84,20,13,15,32,0.33,1,9,-8,-2.67,90,100,84,19,14,21,31,2.33,9,1,8,2.67,0,32,31,5,23,39,26,,,0,0,31,30,2,60,29,34,,,0,3,3,270,9,3.0,29,20,69.0,0,1,2,1,33.3,1,1,0,0,0.0,3,3,270,1,0.33,7,6,85.7,2,1,0,2,66.7,0,0,0,0,
Czechia,Czech Republic,21,27.8,42.7,3,33,270,3.0,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33,21,27.2,57.3,3,33,270,3.0,6,5,11,5,1,1,4,0,2.0,1.67,3.67,1.67,3.33,34,8,23.5,11.33,2.67,0.06,0.25,43,15,34.9,14.33,5.0,0.12,0.33,90,100,80,20,14,22,29,0.33,2,6,-4,-1.33,90,100,80,20,13,20,30,2.33,6,2,4,1.33,0,37,31,5,57,19,19,,,0,0,32,35,5,42,27,23,,,0,3,3,270,6,2.0,15,9,60.0,0,1,2,0,0.0,1,1,0,0,0.0,3,3,270,2,0.67,8,6,75.0,2,1,0,1,33.3,0,0,0,0,
Côte d'Ivoire,Côte d'Ivoire,22,25.5,49.8,4,44,360,4.0,5,4,9,5,0,0,4,0,1.25,1.0,2.25,1.25,2.25,22,27.7,50.3,4,44,360,4.0,4,4,8,4,0,0,4,0,1.0,1.0,2.0,1.0,2.0,45,14,31.1,11.25,3.5,0.11,0.36,48,14,29.2,12.0,3.5,0.08,0.29,90,100,82,24,20,18,40,1.5,5,4,1,0.25,90,100,82,27,17,21,43,1.5,4,5,-1,-0.25,0,29,36,4,61,40,48,,,0,0,36,25,4,60,41,54,,,0,4,4,360,4,1.0,13,9,69.2,2,0,2,2,50.0,0,0,0,0,,4,4,360,5,1.25,14,9,64.3,2,0,2,0,0.0,0,0,0,0,
